Feature,ChurnedMean,RetainedMean,t_statistic,p_value,Significant_at_5pct
tenure,17.979133226324237,37.56996521066873,-34.823818696312976,1.195494547260576e-232,True
MonthlyCharges,74.44133226324237,61.26512369540008,18.407526676414673,8.592449331547067e-73,True
TotalCharges,1531.7960941680042,2549.911441824507,-18.706618288177044,5.902580609071861e-75,True
